GEOID,year,state,county,crime,value
01023,2014,Alabama,Choctaw,Burglary,90.02
01023,2014,Alabama,Choctaw,Larceny,52.51
01023,2014,Alabama,Choctaw,Auto Theft,0
01023,2014,Alabama,Choctaw,Arson,15
01023,2014,Alabama,Choctaw,Other Assault,127.52
01023,2014,Alabama,Choctaw,Forgery,30.01
01023,2014,Alabama,Choctaw,Fraud,120.02
01023,2014,Alabama,Choctaw,Embezzlement,15
01023,2014,Alabama,Choctaw,Stolen Prop,45.01
01023,2014,Alabama,Choctaw,Vandalism,45.01
01023,2014,Alabama,Choctaw,Weapon Violation,15
01023,2014,Alabama,Choctaw,Prostitution,0
01023,2014,Alabama,Choctaw,Sex Offense,15
01023,2014,Alabama,Choctaw,Drug Related,0
01023,2014,Alabama,Choctaw,Gambling,0
01023,2014,Alabama,Choctaw,Family Child,0
01023,2014,Alabama,Choctaw,DUI,210.04
01023,2014,Alabama,Choctaw,Liquor Violation,0
01023,2014,Alabama,Choctaw,Drunkenness,105.02
01023,2014,Alabama,Choctaw,Disorderly,30.01
01023,2014,Alabama,Choctaw,Vagrancy,0
01023,2014,Alabama,Choctaw,Other,375.07
01023,2014,Alabama,Choctaw,Suspicion,0
01023,2014,Alabama,Choctaw,Curfew,0
01023,2014,Alabama,Choctaw,Runaway,0
01025,2014,Alabama,Clarke,All Crime,1758.37
01025,2014,Alabama,Clarke,Violent Crime,219.3
01025,2014,Alabama,Clarke,Property Crime,187.4
01025,2014,Alabama,Clarke,Murder,0
01025,2014,Alabama,Clarke,Rape,7.97
01025,2014,Alabama,Clarke,Robbery,99.68
01025,2014,Alabama,Clarke,Assault,107.66
01025,2014,Alabama,Clarke,Burglary,19.94
01025,2014,Alabama,Clarke,Larceny,163.48
01025,2014,Alabama,Clarke,Auto Theft,3.99
01025,2014,Alabama,Clarke,Arson,0
01025,2014,Alabama,Clarke,Other Assault,215.31
01025,2014,Alabama,Clarke,Forgery,3.99
01025,2014,Alabama,Clarke,Fraud,35.89
01025,2014,Alabama,Clarke,Embezzlement,3.99
01025,2014,Alabama,Clarke,Stolen Prop,15.95
01025,2014,Alabama,Clarke,Vandalism,39.87
01025,2014,Alabama,Clarke,Weapon Violation,47.85
01025,2014,Alabama,Clarke,Prostitution,0
01025,2014,Alabama,Clarke,Sex Offense,11.96
01025,2014,Alabama,Clarke,Drug Related,35.89
01025,2014,Alabama,Clarke,Gambling,0
01025,2014,Alabama,Clarke,Family Child,11.96
